id,category,item,price,aisle,row,column
107,Grains,Bulgur,2.50,10,1,7
108,Grains,Farro,4.50,10,1,8
109,Grains,Wild Rice,5.00,10,1,9
110,Grains,Rolled Oats,1.20,10,1,10
111,Baking,Baking Soda,0.80,11,1,1
112,Baking,Baking Powder,1.00,11,1,2
113,Baking,Cocoa Powder,2.50,11,1,3
114,Baking,Yeast,1.50,11,1,4
115,Baking,Chocolate Chips,2.99,11,1,5
116,Baking,Vanilla Extract,4.50,11,1,6
117,Baking,Flaxseed,3.00,11,1,7
118,Baking,Powdered Sugar,2.25,11,1,8
119,Baking,Brown Sugar,1.75,11,1,9
120,Baking,Granulated Sugar,1.00,11,1,10
121,CannedGoods,Canned Tomatoes,0.90,12,1,1
122,CannedGoods,Canned Beans,1.50,12,1,2
123,CannedGoods,Canned Soup,1.00,12,1,3
124,CannedGoods,Canned Tuna,1.75,12,1,4
125,CannedGoods,Canned Fruit,2.00,12,1,5
126,CannedGoods,Canned Vegetables,1.25,12,1,6
127,CannedGoods,Canned Chili,2.50,12,1,7
128,CannedGoods,Canned Coconut Milk,1.99,12,1,8
129,CannedGoods,Canned Corn,1.00,12,1,9
130,CannedGoods,Canned Salmon,3.50,12,1,10
131,Breakfast,Pancake Mix,3.00,13,1,1
132,Breakfast,Syrup,2.50,13,1,2
133,Breakfast,Granola,4.00,13,1,3
134,Breakfast,Instant Oatmeal,2.00,13,1,4
135,Breakfast,Breakfast Bars,3.50,13,1,5
136,Breakfast,Breakfast Sausages,5.00,13,1,6
137,Breakfast,French Toast,2.75,13,1,7
138,Breakfast,Muffins,3.25,13,1,8
139,Breakfast,Bagels,2.50,13,1,9
140,Breakfast,English Muffins,2.00,13,1,10
141,Condiments,Ketchup,1.00,14,1,1
142,Condiments,Mustard,0.80,14,1,2
143,Condiments,Mayonnaise,2.00,14,1,3
144,Condiments,Hot Sauce,1.50,14,1,4
145,Condiments,Soy Sauce,2.25,14,1,5
146,Condiments,Barbecue Sauce,3.00,14,1,6
147,Condiments,Relish,1.20,14,1,7
148,Condiments,Tartar Sauce,1.50,14,1,8
149,Condiments,Salad Dressing,2.50,14,1,9
150,Condiments,Olive Oil,5.00,14,1,10
151,Spices,Black Pepper,1.50,15,1,1
152,Spices,Red Pepper Flakes,1.00,15,1,2
153,Spices,Cinnamon,1.20,15,1,3
154,Spices,Cumin,2.00,15,1,4
155,Spices,Chili Powder,1.50,15,1,5
156,Spices,Oregano,1.75,15,1,6
157,Spices,Basil,1.50,15,1,7
158,Spices,Thyme,2.00,15,1,8
159,Spices,Garlic Powder,1.25,15,1,9
160,Spices,Onion Powder,1.50,15,1,10
161,Breakfast,Cereal,2.50,16,1,1
162,Breakfast,Granola Bars,3.00,16,1,2
163,Breakfast,Instant Oatmeal,1.50,16,1,3
164,Breakfast,Pancake Syrup,2.25,16,1,4
165,Breakfast,Breakfast Sausages,4.00,16,1,5
166,Breakfast,French Toast,3.50,16,1,6
167,Breakfast,Muffins,2.50,16,1,7
168,Breakfast,Bagels,2.00,16,1,8
169,Breakfast,English Muffins,2.50,16,1,9
170,Breakfast,Croissants,2.00,16,1,10
171,Condiments,Ketchup,1.00,17,1,1
172,Condiments,Mustard,0.75,17,1,2
173,Condiments,Mayonnaise,2.00,17,1,3
174,Condiments,Hot Sauce,1.50,17,1,4
175,Condiments,Soy Sauce,1.99,17,1,5
176,Condiments,Barbecue Sauce,3.00,17,1,6
177,Condiments,Relish,1.50,17,1,7
178,Condiments,Tartar Sauce,1.50,17,1,8
179,Condiments,Salad Dressing,2.50,17,1,9
180,Condiments,Olive Oil,4.50,17,1,10
181,Snacks,Potato Chips,1.50,18,1,1
182,Snacks,Cookies,2.00,18,1,2
183,Snacks,Nuts,3.00,18,1,3
184,Snacks,Chocolate Bars,1.00,18,1,4
185,Snacks,Popcorn,1.25,18,1,5
186,Snacks,Dried Fruit,4.00,18,1,6
187,Snacks,Granola Bars,3.00,18,1,7
188,Snacks,Trail Mix,2.50,18,1,8
189,Snacks,Beef Jerky,5.00,18,1,9
190,Snacks,Energy Bars,2.99,18,1,10
191,CannedGoods,Canned Beans,1.50,19,1,1
192,CannedGoods,Canned Soup,1.25,19,1,2
193,CannedGoods,Canned Vegetables,1.00,19,1,3
194,CannedGoods,Canned Tomatoes,1.50,19,1,4
195,CannedGoods,Canned Fruit,2.00,19,1,5
196,CannedGoods,Canned Chili,2.50,19,1,6
197,CannedGoods,Canned Corn,1.25,19,1,7
198,CannedGoods,Canned Tuna,2.00,19,1,8
199,CannedGoods,Canned Salmon,3.00,19,1,9
200,CannedGoods,Canned Coconut Milk,1.99,19,1,10
201,BabyCare,Baby Wipes,2.99,20,1,1
202,BabyCare,Baby Lotion,3.50,20,1,2
203,BabyCare,Baby Shampoo,4.00,20,1,3
204,BabyCare,Baby Formula,15.00,20,1,4
205,BabyCare,Baby Food,1.50,20,1,5
206,BabyCare,Baby Powder,2.00,20,1,6
207,BabyCare,Baby Bath,3.00,20,1,7
208,BabyCare,Baby Nail Clippers,5.00,20,1,8
209,BabyCare,Baby Monitor,50.00,20,1,9
210,BabyCare,Baby Carrier,20.00,20,1,10
211,PetSupplies,Dog Food,15.00,21,1,1
212,PetSupplies,Cat Food,12.00,21,1,2
213,PetSupplies,Dogs Treats,5.00,21,1,3
214,PetSupplies,Cats Treats,4.00,21,1,4
215,PetSupplies,Dog Leash,10.00,21,1,5
216,PetSupplies,Cat Litter,7.50,21,1,6
217,PetSupplies,Pet Shampoo,4.50,21,1,7
218,PetSupplies,Pet Bed,20.00,21,1,8
219,PetSupplies,Pet Carrier,25.00,21,1,9
220,PetSupplies,Pet Bowl,3.50,21,1,10
221,Beverages,Coffee,4.99,22,1,1
222,Beverages,Tea,2.50,22,1,2
223,Beverages,Sparkling Water,1.50,22,1,3
224,Beverages,Juice,1.99,22,1,4
225,Beverages,Soda,1.20,22,1,5
226,Beverages,Energy Drink,2.50,22,1,6
227,Beverages,Beer,3.00,22,1,7
228,Beverages,Wine,6.00,22,1,8
229,Beverages,Whiskey,15.00,22,1,9
230,Beverages,Cocktail Mix,3.00,22,1,10
231,Household,Detergent,4.99,23,1,1
232,Household,Cleaning Wipes,3.00,23,1,2
233,Household,Dish Soap,1.50,23,1,3
234,Household,Paper Towels,2.99,23,1,4
235,Household,Toilet Paper,5.00,23,1,5
236,Household,Trash Bags,2.50,23,1,6
237,Household,Candles,1.75,23,1,7
238,Household,Light Bulbs,2.00,23,1,8
239,Household,Air Freshener,2.50,23,1,9
240,Household,Plungers,3.50,23,1,10
241,PersonalCare,Shampoo,4.00,24,1,1
242,PersonalCare,Conditioner,3.50,24,1,2
243,PersonalCare,Body Wash,4.00,24,1,3
244,PersonalCare,Toothpaste,1.50,24,1,4
245,PersonalCare,Deodorant,2.00,24,1,5
246,PersonalCare,Face Wash,2.99,24,1,6
247,PersonalCare,Moisturizer,3.50,24,1,7
248,PersonalCare,Sunscreen,6.00,24,1,8
249,PersonalCare,Hand Soap,1.50,24,1,9
250,PersonalCare,Hand Lotion,2.50,24,1,10
251,Frozen,Frozen Pizza,4.00,25,1,1
252,Frozen,Frozen Vegetables,2.50,25,1,2
253,Frozen,Frozen Fruits,3.00,25,1,3
254,Frozen,Frozen Dinners,5.00,25,1,4
255,Frozen,Frozen Desserts,3.50,25,1,5
256,Frozen,Frozen Fish,8.00,25,1,6
257,Frozen,Frozen Chicken Nuggets,4.50,25,1,7
258,Frozen,Frozen Breakfast Sandwiches,2.50,25,1,8
259,Frozen,Frozen Burritos,3.00,25,1,9
260,Frozen,Frozen Waffles,2.50,25,1,10
261,Baking,Baking Soda,1.00,26,1,1
262,Baking,Baking Powder,1.20,26,1,2
263,Baking,Flour,1.50,26,1,3
264,Baking,Sugar,1.00,26,1,4
265,Baking,Chocolate Chips,2.50,26,1,5
266,Baking,Cocoa Powder,2.99,26,1,6
267,Baking,Vanilla Extract,3.50,26,1,7
268,Baking,Yeast,1.50,26,1,8
269,Baking,Powdered Sugar,2.00,26,1,9
270,Baking,Brown Sugar,1.80,26,1,10
271,Snacks,Chips,1.50,27,1,1
272,Snacks,Candy Bars,1.00,27,1,2
273,Snacks,Nuts,3.50,27,1,3
274,Snacks,Popcorn,2.00,27,1,4
275,Snacks,Trail Mix,3.00,27,1,5
276,Snacks,Granola Bars,2.50,27,1,6
277,Snacks,Beef Jerky,5.00,27,1,7
278,Snacks,Dried Fruit,4.00,27,1,8
279,Snacks,Chocolate,1.50,27,1,9
280,Snacks,Snack Mix,3.00,27,1,10
281,Household,Cleaner,3.99,28,1,1
282,Household,Laundry Detergent,5.50,28,1,2
283,Household,Dish Soap,2.50,28,1,3
284,Household,Paper Towels,3.00,28,1,4
285,Household,Toilet Paper,4.00,28,1,5
286,Household,Sponge,1.00,28,1,6
287,Household,Trash Bags,4.99,28,1,7
288,Household,Candles,2.00,28,1,8
289,Household,Light Bulbs,1.75,28,1,9
290,Household,Air Freshener,2.25,28,1,10
291,PersonalCare,Shampoo,4.00,29,1,1
292,PersonalCare,Conditioner,4.00,29,1,2
293,PersonalCare,Body Wash,3.50,29,1,3
294,PersonalCare,Toothbrush,1.00,29,1,4
295,PersonalCare,Toothpaste,2.00,29,1,5
296,PersonalCare,Deodorant,2.50,29,1,6
297,PersonalCare,Face Wash,3.00,29,1,7
298,PersonalCare,Moisturizer,5.00,29,1,8
299,PersonalCare,Nail Polish,4.00,29,1,9
